Name;adot;edot;idot;Piqdot;Omegadot;L0dot;M0dot
Merkur ;66;2527;0.0018;1.5555;1.1862;149474.0708;149472.5153
Venus  ;92;-4938;0.001;1.408;0.9011;58319.2119;58517.8039
Erde   ;-5;-3804;0;1.7192;0;36000.769;35999.0498
Mars   ;-7221;11902;-0.0006;1.8408;0.7721;19140.50278;19139.8585
Jupiter;60737;-12880;-0.0055;1.6126;1.021;3034.9057;3033.6272
Saturn ;-301530;-36762;-0.0037;1.9638;0.8771;1222.1138;1213.8664
Uranus        ;152025;-19150;0.0008;1.4864;0.5211;428.467;426.9282
Neptun ;-125196;2514;-0.0093;1.4263;1.1022;218.4862;217.9599
Pluto  ;-76912;6456;;;;145.2078;146.3183
%Aequinoktium  des Datums;;;;;;;
%Lineare Terme der zeitlichen Veraenderungen der Bahnparameter;;;;;;;
