Name;aP;eP;iP;PiqP;OmegaP;L0P;M0P;NP;epsP;SidTagP;aPm
Merkur ;0.387098;0.20563069;7.004870;77.456450;48.331670;252.250840;174.794390;149473.095267;0;5067033.624;5.79091E+10
Venus  ;0.723332;0.00677323;3.394710;131.532980;76.679220;181.979730;50.446750;58517.857244;177.3;20996815.681;1.08209E+11
Erde   ;1.000000;0.01671022;0.000050;102.947190;174.873176;100.464350;357.517160;35999.371944;23.45;86164.099;1.49598E+11
Mars   ;1.523662;0.09341233;1.850610;336.060200;49.578540;355.453320;19.393120;19140.877192;25.192;88642.663;2.27937E+11
Jupiter;5.203363;0.04839266;1.305310;14.753850;100.556150;34.404380;19.650530;3032.974340;3.12;35729.856;7.78412E+11
Saturn ;9.537070;0.0541506;2.484460;92.431940;113.715040;49.944320;317.512380;1222.284900;26.73;38362.464;1.42673E+12
Uranus ;19.191264;0.0471771;0.769860;170.964240;74.229880;313.232180;142.267940;428.192991;97.86;62063.712;2.87097E+12
Neptun ;30.068964;0.0085859;1.769170;44.971350;131.721690;304.880030;259.908680;218.331916;29.58;57996.000;4.49825E+12
Pluto  ;39.481687;0.2488077;17.141750;224.066760;110.303470;238.928810;14.862050;145.111347;NaN;NaN;5.90638E+12
%Aequinoktium J2000;;;;;;;;;;;
%Mittlere Bahnparameter;;;;;;;;;;;
%;;;;;;;;;;;
G;6.67430E-11;;;;;;;;;;
MS;1.98842E+30;;;;;;;;;;
AE;1.49598E+11;;;;;;;;;;
muG;1.32713E+20;;;;;;;;;;
d;8.64000E+04;;;;;;;;;;
