Datum;Laenge;Breite;Abstand;Laenge;Breite;x;y;r
2018-Aug-12;319.34;0.0014;1.013382767;5.573534433;2.44346E-05;0.768741427;-0.660288763;1.013382766
2018-Nov-12;49.6393;-0.0021;0.989859809;-0.4085019;-3.66519E-05;0.908411125;-0.393206904;0.989859809
2019-Feb-12;143.0645;-0.0013;0.987090264;0.3095527;-2.26893E-05;0.940173791;0.3006999;0.987090263
2019-May-12;231.0819;0.002;1.010133766;0.3801431;3.49066E-05;0.938021879;0.374813525;1.010133765
2019-Aug-12;319.0957;0.0016;1.013408609;-0.2997334;2.79253E-05;0.96822603;-0.299224603;1.013408608
2019-Nov-12;49.3764;-0.002;0.989867159;-0.4021608;-3.49066E-05;0.910892972;-0.387441588;0.989867159
2020-Feb-12;142.8014;-0.0016;0.986999748;0.3275654;-2.79253E-05;0.934519445;0.317556149;0.986999747
2020-May-12;231.7959;0.0022;1.010306213;0.3981659;3.83972E-05;0.931273672;0.391724381;1.010306212
2020-Aug-12;319.8064;0.0017;1.013288729;-0.287575;2.96706E-05;0.971677511;-0.287396696;1.013288728
2020-Nov-12;50.1261;-0.0023;0.989760722;-0.3897132;-4.01426E-05;0.915546542;-0.376032996;0.989760721
2021-Feb-12;143.5534;-0.0013;0.987208873;0.3232065;-2.26893E-05;0.936093056;0.313546089;0.987208873
2021-May-12;231.5475;0.0023;1.010285403;0.3880885;4.01426E-05;0.935154619;0.382311958;1.010285403
2021-Aug-12;319.5628;0.0015;1.013332088;-0.3053525;2.61799E-05;0.966456399;-0.304637405;1.013332087
2021-Nov-12;49.8707;-0.0021;0.989819613;-0.4091414;-3.66519E-05;0.908122605;-0.393771762;0.989819612
2022-Feb-12;143.2901;-0.0015;0.98710038;0.3122581;-2.61799E-05;0.939366465;0.303245451;0.98710038
2022-May-12;231.3045;0.0023;1.010123946;0.3829675;4.01426E-05;0.936950407;0.377457706;1.010123945
2022-Aug-12;319.3211;0.0018;1.013345112;-0.2936071;3.14159E-05;0.969980209;-0.293269005;1.013345111
2022-Nov-12;49.6107;-0.0026;0.989882382;-0.3918114;-4.53786E-05;0.914867975;-0.377999625;0.989882381
2023-Feb-12;143.025;-0.0015;0.987075998;0.3292343;-2.61799E-05;0.93406033;0.319139979;0.987075998
2023-May-12;231.0515;0.0027;1.010073149;0.4047058;4.71239E-05;0.9284777;0.397714629;1.010073148
2023-Aug-12;319.072;0.0016;1.013452137;-0.2843978;2.79253E-05;0.972742566;-0.284353886;1.013452136
2023-Nov-12;49.3542;-0.0026;0.989960773;-0.3989812;-4.53786E-05;0.912206536;-0.384579727;0.989960772
2024-Feb-12;142.7725;-0.0016;0.987083193;0.311367;-2.79253E-05;0.939619954;0.302402996;0.987083193
2024-May-12;231.7699;0.0026;1.010287887;0.3791101;4.53786E-05;0.938551738;0.373901388;1.010287886
2024-Aug-12;319.786;0.0019;1.013284102;-0.3083483;3.31613E-05;0.965493707;-0.30751678;1.013284101
2024-Nov-12;50.1023;-0.0027;0.98973397;-0.405963;-4.71239E-05;0.909290897;-0.39084958;0.989733969
2025-Feb-12;143.5228;-0.0018;0.987179533;0.3225602;-3.14159E-05;0.936267678;0.312931726;0.987179533
2025-May-12;231.5174;0.003;1.01017314;0.3872182;5.23599E-05;0.935383039;0.381455555;1.010173138
2025-Aug-12;319.5399;0.0019;1.013262334;-0.2873529;3.31613E-05;0.971716006;-0.287173399;1.013262334
2025-Nov-12;49.8454;-0.0029;0.989840068;-0.3862435;-5.06145E-05;0.91691925;-0.372883958;0.989840067
2026-Feb-12;143.2608;-0.0016;0.987182588;0.33028;-2.79253E-05;0.933826923;0.320151119;0.987182588
2026-May-12;231.2677;0.0028;1.010163318;0.3990672;4.88692E-05;0.930788565;0.392508056;1.010163317
2026-Aug-12;319.2938;0.0019;1.013357932;-0.2918795;3.31613E-05;0.97049769;-0.29159652;1.013357932
2026-Nov-12;49.5897;-0.0028;0.989925404;-0.4052591;-4.88692E-05;0.909741718;-0.390284907;0.989925403
2027-Feb-12;143.0079;-0.0021;0.987100486;0.308736;-3.66519E-05;0.940428798;0.299935066;0.987100485
2027-May-12;231.0288;0.003;1.010120407;0.3804254;5.23599E-05;0.937903627;0.375073353;1.010120406
2027-Aug-12;319.0474;0.0023;1.013382955;-0.3019077;4.01426E-05;0.967548644;-0.30132148;1.013382955
2027-Nov-12;49.3298;-0.0032;0.989905545;-0.4042698;-5.58505E-05;0.910109124;-0.389376897;0.989905544
