Datum;Laenge;Breite;Abstand;Laenge rad;Breite rad;x;y;r
2018-Aug-12;319.3354;-0.0013;1.013338268;5.573454148;-2.26893E-05;0.768654659;-0.660321482;1.013338268
2018-Aug-13;319.8926;-0.0572;1.013061553;5.583179123;-0.000998328;0.774827792;-0.652636638;1.013061049
2018-Aug-14;320.4535;-0.1126;1.012597937;5.592968675;-0.001965241;0.780820965;-0.644724159;1.012595981
2018-Aug-15;321.0153;-0.1679;1.01194397;5.602773934;-0.002930408;0.786594822;-0.636624215;1.011939625
2018-Aug-16;321.578;-0.2233;1.011099489;5.612594902;-0.00389732;0.792144829;-0.628341642;1.011091811
2018-Aug-17;322.1419;-0.2787;1.010064258;5.622436814;-0.004864233;0.797469727;-0.619877167;1.010052309
2018-Aug-18;322.707;-0.3343;1.008837993;5.632299669;-0.005834636;0.802564892;-0.611235668;1.008820821
2018-Aug-19;323.2737;-0.39;1.007420351;5.64219045;-0.006806784;0.807429952;-0.602416479;1.007397013
2018-Aug-20;323.8421;-0.4458;1.005810771;5.652110902;-0.007780678;0.812061062;-0.593423032;1.005780326
2018-Aug-21;324.4122;-0.5017;1.00400805;5.662061024;-0.008756317;0.816452838;-0.584259908;1.00396956
2018-Aug-22;324.9844;-0.5578;1.002012412;5.672047798;-0.009735447;0.820605113;-0.574926921;1.001964927
2018-Aug-23;325.5591;-0.6141;0.999823363;5.682078205;-0.010718067;0.824516956;-0.565423481;0.999765935
2018-Aug-24;326.1364;-0.6706;0.997440276;5.692153991;-0.011704178;0.828184215;-0.555753298;0.997371958
2018-Aug-25;326.7166;-0.7272;0.994862469;5.702280391;-0.012692034;0.831604604;-0.54591729;0.99478234
2018-Aug-26;327.2999;-0.7842;0.9920892;5.712460896;-0.013686872;0.834774628;-0.535917844;0.991996277
2018-Aug-27;327.8867;-0.8413;0.989119667;5.722702488;-0.014683455;0.837692606;-0.525754591;0.98901304
2018-Aug-28;328.4771;-0.8987;0.985953004;5.733006912;-0.015685274;0.840353779;-0.515431573;0.98583172
2018-Aug-29;329.0715;-0.9565;0.982588282;5.743381149;-0.016694074;0.842755971;-0.504948569;0.982451365
2018-Aug-30;329.6701;-1.0145;0.979024509;5.75382869;-0.017706365;0.844895062;-0.49430846;0.978871043
2018-Aug-31;330.2733;-1.0728;0.975260627;5.764356516;-0.018723892;0.846768397;-0.483511282;0.975089677
2018-Sep-01;330.8812;-1.1315;0.971295477;5.774966373;-0.0197484;0.848370507;-0.47256164;0.971106081
2018-Sep-02;331.4944;-1.1906;0.967127888;5.785668732;-0.02077989;0.849699945;-0.461456965;0.96691909
2018-Sep-03;332.113;-1.25;0.962756613;5.796465339;-0.021816616;0.850750895;-0.450202298;0.962527503
2018-Sep-04;332.7374;-1.3098;0.958180316;5.807363175;-0.022860323;0.851519676;-0.43879841;0.957929957
2018-Sep-05;333.3679;-1.3701;0.953397584;5.818367475;-0.023912756;0.852001535;-0.427247787;0.953125011
2018-Sep-06;334.005;-1.4308;0.948406924;5.829486968;-0.024972171;0.852192989;-0.415550237;0.948111222
2018-Sep-07;334.649;-1.492;0.94320677;5.840726889;-0.026040312;0.852088667;-0.403708791;0.942886995
2018-Sep-08;335.3004;-1.5537;0.937795469;5.852095963;-0.027117181;0.851684352;-0.391723831;0.93745069
2018-Sep-09;335.9595;-1.6159;0.932171286;5.863599428;-0.028202775;0.850974084;-0.379599056;0.931800587
2018-Sep-10;336.6268;-1.6787;0.926332399;5.87524601;-0.029298842;0.849952892;-0.367335543;0.925934835
2018-Sep-11;337.3027;-1.7421;0.920276897;5.887042691;-0.030405381;0.848614808;-0.354936277;0.919851538
2018-Sep-12;337.9879;-1.806;0.914002773;5.899001687;-0.031520646;0.846955366;-0.342400259;0.913548756
2018-Sep-13;338.6827;-1.8706;0.907507922;5.911128235;-0.032648129;0.84496707;-0.329732842;0.907024309
2018-Sep-14;339.3877;-1.9359;0.900790143;5.923432806;-0.033787829;0.842643928;-0.316935499;0.900276013
2018-Sep-15;340.1036;-2.0019;0.893847128;5.935927618;-0.034939746;0.839979977;-0.304008815;0.893301585
2018-Sep-16;340.831;-2.0686;0.886676462;5.948623143;-0.036103881;0.83696816;-0.290955487;0.886098638
2018-Sep-17;341.5705;-2.136;0.879275622;5.961529853;-0.037280233;0.833600925;-0.277778894;0.878664677
2018-Sep-18;342.3228;-2.2043;0.871641967;5.974659965;-0.038472293;0.829870585;-0.264481664;0.87099698
2018-Sep-19;343.0886;-2.2734;0.863772732;5.988025696;-0.039678315;0.825769047;-0.251067298;0.863092873
2018-Sep-20;343.8689;-2.3433;0.855665032;6.0016445;-0.0408983;0.821288853;-0.237535855;0.854949509
2018-Sep-21;344.6643;-2.4142;0.847315848;6.015526849;-0.042135739;0.816420036;-0.223894109;0.846563788
2018-Sep-22;345.476;-2.486;0.83872203;6.029693687;-0.043388885;0.811154582;-0.210141379;0.837932667
