Datum;Laenge;Breite;Abstand;Laenge;Breite;x;y;r
2018-Aug-12;273.4784;-0.985;0.727191284;4.773098513;-0.017191493;0.04411381;-0.725744351;0.727083827
2018-Aug-13;275.0611;-1.0745;0.727274301;4.800721839;-0.018753563;0.064147425;-0.724311409;0.727146415
2018-Aug-14;276.6435;-1.163;0.727354259;4.828339929;-0.020298179;0.084131228;-0.722321403;0.727204423
2018-Aug-15;278.2257;-1.2507;0.727431095;4.855954529;-0.021828833;0.104050869;-0.719775877;0.727257793
2018-Aug-16;279.8077;-1.3374;0.727504753;4.883565637;-0.023342033;0.123890803;-0.716676997;0.727306572
2018-Aug-17;281.3894;-1.4231;0.727575177;4.91117151;-0.024837781;0.143634306;-0.713027571;0.727350762
2018-Aug-18;282.971;-1.5077;0.727642312;4.938775638;-0.026314329;0.163268487;-0.70883016;0.727390401
2018-Aug-19;284.5524;-1.5911;0.727706109;4.966376274;-0.027769934;0.18277681;-0.70408845;0.727425534
2018-Aug-20;286.1336;-1.6733;0.727766518;4.993973421;-0.029204594;0.202144095;-0.698806311;0.727456181
2018-Aug-21;287.7148;-1.7542;0.727823495;5.021570567;-0.030616566;0.221357713;-0.692987306;0.7274824
2018-Aug-22;289.2958;-1.8338;0.727876996;5.049164222;-0.032005848;0.240400283;-0.686636798;0.727504219
2018-Aug-23;290.8768;-1.9119;0.727926981;5.076757878;-0.03336895;0.259259429;-0.679759108;0.72752175
2018-Aug-24;292.4577;-1.9886;0.727973413;5.104349788;-0.034707618;0.277919277;-0.672360052;0.727534991
2018-Aug-25;294.0385;-2.0637;0.728016255;5.131939953;-0.03601836;0.296365375;-0.664445587;0.72754407
2018-Aug-26;295.6193;-2.1373;0.728055476;5.159530117;-0.037302922;0.314584547;-0.656021411;0.727548987
2018-Aug-27;297.2001;-2.2093;0.728091046;5.187120282;-0.038559559;0.332562651;-0.647094156;0.727549836
2018-Aug-28;298.7809;-2.2795;0.728122939;5.214710447;-0.03978478;0.350285776;-0.637670899;0.727546769
2018-Aug-29;300.3617;-2.3481;0.728151131;5.242300612;-0.040982076;0.367740123;-0.627758931;0.727539741
2018-Aug-30;301.9425;-2.4148;0.7281756;5.269890777;-0.042146211;0.384912241;-0.617366149;0.727528965
2018-Aug-31;303.5235;-2.4797;0.728196328;5.297484432;-0.043278929;0.401790926;-0.606499245;0.727514455
2018-Sep-01;305.1044;-2.5427;0.728213299;5.325076342;-0.044378487;0.418359916;-0.595168788;0.727496327
2018-Sep-02;306.6855;-2.6038;0.728226501;5.352671743;-0.045444883;0.434609521;-0.583381463;0.727474651
2018-Sep-03;308.2667;-2.6629;0.728235925;5.380268889;-0.046476373;0.450526107;-0.571147159;0.727449552
2018-Sep-04;309.848;-2.7199;0.728241562;5.407867781;-0.04747121;0.466097373;-0.558475414;0.727421164
2018-Sep-05;311.4294;-2.7749;0.728243408;5.435468418;-0.048431141;0.481311218;-0.545376014;0.7273895
2018-Sep-06;313.0109;-2.8278;0.728241464;5.4630708;-0.049354421;0.496155901;-0.531859171;0.727354697
2018-Sep-07;314.5927;-2.8785;0.728235729;5.490678418;-0.050239303;0.510621792;-0.517933634;0.727316894
2018-Sep-08;316.1746;-2.9271;0.728226209;5.518287781;-0.051087533;0.52469576;-0.503611845;0.727276104
2018-Sep-09;317.7566;-2.9734;0.728212911;5.54589889;-0.05189562;0.538367027;-0.488905006;0.727232536
2018-Sep-10;319.3389;-3.0174;0.728195845;5.573515235;-0.052663565;0.551626701;-0.473822598;0.72718627
2018-Sep-11;320.9214;-3.0592;0.728175024;5.60113507;-0.053393112;0.564463549;-0.458377121;0.727137321
2018-Sep-12;322.5041;-3.0986;0.728150463;5.628758396;-0.054080772;0.5768677;-0.442580574;0.727085901
2018-Sep-13;324.087;-3.1357;0.728122183;5.656385213;-0.054728289;0.588829471;-0.426445094;0.727032024
2018-Sep-14;325.6702;-3.1704;0.728090203;5.684017266;-0.055333919;0.600340347;-0.409982119;0.726975839
2018-Sep-15;327.2536;-3.2027;0.728054549;5.711652809;-0.05589766;0.61139062;-0.393205355;0.726917424
2018-Sep-16;328.8373;-3.2325;0.728015247;5.739293588;-0.056417768;0.621972434;-0.376126693;0.726856931
2018-Sep-17;330.4212;-3.2599;0.727972327;5.766937858;-0.056895988;0.632076804;-0.358760316;0.726794366
2018-Sep-18;332.0054;-3.2848;0.727925823;5.794587364;-0.057330575;0.64169655;-0.341118535;0.726729879
2018-Sep-19;333.5899;-3.3072;0.727875769;5.822242106;-0.057721529;0.650824118;-0.323214907;0.726663546
2018-Sep-20;335.1747;-3.327;0.727822203;5.849902084;-0.058067104;0.659452404;-0.305063225;0.726595516
2018-Sep-21;336.7598;-3.3444;0.727765166;5.877567298;-0.058370792;0.667574485;-0.286677384;0.726525716
2018-Sep-22;338.3453;-3.3592;0.727704702;5.905239494;-0.0586291;0.675184569;-0.268070406;0.726454365
2018-Sep-23;339.931;-3.3714;0.727640857;5.93291518;-0.05884203;0.682275685;-0.249258946;0.726381534
2018-Sep-24;341.517;-3.381;0.727573678;5.960596102;-0.059009582;0.688842735;-0.230256312;0.726307293
2018-Sep-25;343.1034;-3.3881;0.727503219;5.988284005;-0.0591335;0.694880818;-0.211075894;0.726231633
2018-Sep-26;344.6901;-3.3925;0.727429531;6.015977144;-0.059210295;0.700384852;-0.191733695;0.726154771
2018-Sep-27;346.2772;-3.3944;0.727352672;6.043677265;-0.059243456;0.705350614;-0.172243338;0.726076618
2018-Sep-28;347.8645;-3.3937;0.727272699;6.071380876;-0.059231239;0.709773575;-0.152622313;0.725997312
2018-Sep-29;349.4523;-3.3904;0.727189675;6.099093214;-0.059173643;0.713650986;-0.132882026;0.725916912
2018-Sep-30;351.0404;-3.3844;0.727103663;6.126810788;-0.059068923;0.716979194;-0.113040173;0.725835549
