Name;adot;edot;idot;Piqdot;Omegadot;L0dot;M0dot
Merkur;66;2527;-0.006531;0.159325;-0.1254;149472.6738;149472.5153
Venus;92;-4938;-0.000794;0.004875;-0.278;58317.8149;58517.8039
Erde;-5;-3804;-0.013039;0.322565;-0.2411;35999.372;35999.0498
Mars;-7221;10957;-0.007075;0.443906;-0.295;19140.50607;19139.85716
Jupiter;60737;-12880;-0.001153;0.215521;0.1767;3034.9057;3034.6724
Saturn;-301530;-36762;0.001697;0.566542;-0.2567;1222.1138;1222.6552
Uranus        ;152025;-19150;-0.000581;0.089321;0.0741;428.467;428.1024
Neptun;-125196;2514;-0.000931;0.029187;-0.0062;219.8833;218.457
Pluto;-76912;6456;0.3075;-0.036736;-0.0104;145.2078;143.7818
%Aequinoktium J2000;;;;;;;
%Lineare Terme der zeitlichen Veraenderungen der Bahnparameter;;;;;;;
