t 	 x 	 y 	 z 
01-Jan-2022 00:00 -2.7412202020e+10 1.4526542741e+11 1.8958214447e+07 
01-Jan-2022 01:00 -2.7519493391e+10 1.4524588117e+11 1.8960452005e+07 
01-Jan-2022 02:00 -2.7626770584e+10 1.4522625672e+11 1.8962693381e+07 
01-Jan-2022 03:00 -2.7734033539e+10 1.4520655407e+11 1.8964938576e+07 
01-Jan-2022 04:00 -2.7841282200e+10 1.4518677323e+11 1.8967187589e+07 
01-Jan-2022 05:00 -2.7948516508e+10 1.4516691420e+11 1.8969440421e+07 
01-Jan-2022 06:00 -2.8055736406e+10 1.4514697701e+11 1.8971697071e+07 
01-Jan-2022 07:00 -2.8162941834e+10 1.4512696167e+11 1.8973957540e+07 
01-Jan-2022 08:00 -2.8270132737e+10 1.4510686817e+11 1.8976221826e+07 
01-Jan-2022 09:00 -2.8377309054e+10 1.4508669654e+11 1.8978489930e+07 
01-Jan-2022 10:00 -2.8484470729e+10 1.4506644678e+11 1.8980761852e+07 
01-Jan-2022 11:00 -2.8591617703e+10 1.4504611890e+11 1.8983037591e+07 
01-Jan-2022 12:00 -2.8698749920e+10 1.4502571292e+11 1.8985317148e+07 
01-Jan-2022 13:00 -2.8805867320e+10 1.4500522884e+11 1.8987600522e+07 
01-Jan-2022 14:00 -2.8912969846e+10 1.4498466668e+11 1.8989887713e+07 
01-Jan-2022 15:00 -2.9020057440e+10 1.4496402645e+11 1.8992178720e+07 
01-Jan-2022 16:00 -2.9127130044e+10 1.4494330816e+11 1.8994473545e+07 
01-Jan-2022 17:00 -2.9234187600e+10 1.4492251182e+11 1.8996772185e+07 
01-Jan-2022 18:00 -2.9341230051e+10 1.4490163744e+11 1.8999074643e+07 
01-Jan-2022 19:00 -2.9448257339e+10 1.4488068503e+11 1.9001380916e+07 
01-Jan-2022 20:00 -2.9555269405e+10 1.4485965461e+11 1.9003691005e+07 
01-Jan-2022 21:00 -2.9662266192e+10 1.4483854618e+11 1.9006004910e+07 
01-Jan-2022 22:00 -2.9769247642e+10 1.4481735975e+11 1.9008322630e+07 
01-Jan-2022 23:00 -2.9876213698e+10 1.4479609535e+11 1.9010644166e+07 
02-Jan-2022 00:00 -2.9983164301e+10 1.4477475297e+11 1.9012969516e+07 
02-Jan-2022 01:00 -3.0090099394e+10 1.4475333263e+11 1.9015298682e+07 
02-Jan-2022 02:00 -3.0197018918e+10 1.4473183434e+11 1.9017631663e+07 
02-Jan-2022 03:00 -3.0303922817e+10 1.4471025812e+11 1.9019968458e+07 
02-Jan-2022 04:00 -3.0410811032e+10 1.4468860397e+11 1.9022309068e+07 
02-Jan-2022 05:00 -3.0517683506e+10 1.4466687190e+11 1.9024653491e+07 
02-Jan-2022 06:00 -3.0624540181e+10 1.4464506194e+11 1.9027001729e+07 
02-Jan-2022 07:00 -3.0731380998e+10 1.4462317408e+11 1.9029353780e+07 
02-Jan-2022 08:00 -3.0838205901e+10 1.4460120834e+11 1.9031709645e+07 
02-Jan-2022 09:00 -3.0945014832e+10 1.4457916474e+11 1.9034069323e+07 
02-Jan-2022 10:00 -3.1051807733e+10 1.4455704328e+11 1.9036432815e+07 
02-Jan-2022 11:00 -3.1158584545e+10 1.4453484398e+11 1.9038800119e+07 
02-Jan-2022 12:00 -3.1265345213e+10 1.4451256684e+11 1.9041171236e+07 
02-Jan-2022 13:00 -3.1372089677e+10 1.4449021189e+11 1.9043546165e+07 
