T;t;x;y;z;vx;vy;vz;
2459580.5000;2022-Jan-01 00:00:00;-2.7411475609E+07;1.4526974996E+08;1.9074993063E+04;-2.9818015221E+01;-5.4155199404E+00;1.7810369073E-03;
2459580.5417;2022-Jan-01 01:00:00;-2.7518813457E+07;1.4525021475E+08;1.9081401102E+04;-2.9814119532E+01;-5.4373782485E+00;1.7789623119E-03;
2459580.5833;2022-Jan-01 02:00:00;-2.7626137249E+07;1.4523060084E+08;1.9087801431E+04;-2.9810206289E+01;-5.4592340770E+00;1.7767542194E-03;
2459580.6250;2022-Jan-01 03:00:00;-2.7733446921E+07;1.4521090826E+08;1.9094193572E+04;-2.9806275489E+01;-5.4810873955E+00;1.7744129318E-03;
2459580.6667;2022-Jan-01 04:00:00;-2.7840742411E+07;1.4519113702E+08;1.9100577045E+04;-2.9802327127E+01;-5.5029381740E+00;1.7719387777E-03;
2459580.7083;2022-Jan-01 05:00:00;-2.7948023655E+07;1.4517128711E+08;1.9106951372E+04;-2.9798361200E+01;-5.5247863819E+00;1.7693321121E-03;
2459580.7500;2022-Jan-01 06:00:00;-2.8055290591E+07;1.4515135856E+08;1.9113316078E+04;-2.9794377704E+01;-5.5466319888E+00;1.7665933166E-03;
2459580.7917;2022-Jan-01 07:00:00;-2.8162543154E+07;1.4513135137E+08;1.9119670686E+04;-2.9790376637E+01;-5.5684749641E+00;1.7637227989E-03;
2459580.8333;2022-Jan-01 08:00:00;-2.8269781281E+07;1.4511126554E+08;1.9126014724E+04;-2.9786357996E+01;-5.5903152771E+00;1.7607209935E-03;
2459580.8750;2022-Jan-01 09:00:00;-2.8377004910E+07;1.4509110110E+08;1.9132347720E+04;-2.9782321778E+01;-5.6121528969E+00;1.7575883613E-03;
2459580.9167;2022-Jan-01 10:00:00;-2.8484213977E+07;1.4507085805E+08;1.9138669204E+04;-2.9778267981E+01;-5.6339877928E+00;1.7543253895E-03;
2459580.9583;2022-Jan-01 11:00:00;-2.8591408419E+07;1.4505053639E+08;1.9144978707E+04;-2.9774196603E+01;-5.6558199336E+00;1.7509325914E-03;
2459581.0000;2022-Jan-01 12:00:00;-2.8698588171E+07;1.4503013614E+08;1.9151275764E+04;-2.9770107643E+01;-5.6776492884E+00;1.7474105070E-03;
2459581.0417;2022-Jan-01 13:00:00;-2.8805753172E+07;1.4500965732E+08;1.9157559909E+04;-2.9766001099E+01;-5.6994758261E+00;1.7437597020E-03;
2459581.0833;2022-Jan-01 14:00:00;-2.8912903358E+07;1.4498909992E+08;1.9163830680E+04;-2.9761876970E+01;-5.7212995154E+00;1.7399807686E-03;
2459581.1250;2022-Jan-01 15:00:00;-2.9020038666E+07;1.4496846397E+08;1.9170087617E+04;-2.9757735256E+01;-5.7431203250E+00;1.7360743247E-03;
