T;t;x;y;z;vx;vy;vz
2459580.500000;2022-Jan-01 00:00:00;-1.3095118001E+08;-1.8931278522E+08;-7.7143225636E+05;2.0909944709E+01;-1.1605035874E+01;-7.5571817928E-01
2459580.541667;2022-Jan-01 01:00:00;-1.3087589503E+08;-1.8935454991E+08;-7.7415278530E+05;2.0915044054E+01;-1.1597569325E+01;-7.5568676573E-01
2459580.583333;2022-Jan-01 02:00:00;-1.3080059170E+08;-1.8939628771E+08;-7.7687320095E+05;2.0920140980E+01;-1.1590100374E+01;-7.5565524852E-01
2459580.625000;2022-Jan-01 03:00:00;-1.3072527002E+08;-1.8943799863E+08;-7.7959350297E+05;2.0925235497E+01;-1.1582629005E+01;-7.5562363105E-01
2459580.666667;2022-Jan-01 04:00:00;-1.3064993000E+08;-1.8947968264E+08;-7.8231369097E+05;2.0930327597E+01;-1.1575155200E+01;-7.5559190999E-01
2459580.708333;2022-Jan-01 05:00:00;-1.3057457166E+08;-1.8952133974E+08;-7.8503376458E+05;2.0935417266E+01;-1.1567678953E+01;-7.5556007710E-01
2459580.750000;2022-Jan-01 06:00:00;-1.3049919500E+08;-1.8956296992E+08;-7.8775372338E+05;2.0940504484E+01;-1.1560200271E+01;-7.5552812537E-01
2459580.791667;2022-Jan-01 07:00:00;-1.3042380003E+08;-1.8960457318E+08;-7.9047356694E+05;2.0945589248E+01;-1.1552719173E+01;-7.5549605392E-01
2459580.833333;2022-Jan-01 08:00:00;-1.3034838676E+08;-1.8964614950E+08;-7.9319329483E+05;2.0950671562E+01;-1.1545235674E+01;-7.5546386697E-01
2459580.875000;2022-Jan-01 09:00:00;-1.3027295520E+08;-1.8968769887E+08;-7.9591290665E+05;2.0955751438E+01;-1.1537749780E+01;-7.5543157169E-01
2459580.916667;2022-Jan-01 10:00:00;-1.3019750536E+08;-1.8972922130E+08;-7.9863240203E+05;2.0960828891E+01;-1.1530261482E+01;-7.5539917432E-01
2459580.958333;2022-Jan-01 11:00:00;-1.3012203724E+08;-1.8977071675E+08;-8.0135178059E+05;2.0965903924E+01;-1.1522770766E+01;-7.5536667614E-01
2459581.000000;2022-Jan-01 12:00:00;-1.3004655085E+08;-1.8981218524E+08;-8.0407104197E+05;2.0970976527E+01;-1.1515277613E+01;-7.5533407166E-01
2459581.041667;2022-Jan-01 13:00:00;-1.2997104621E+08;-1.8985362675E+08;-8.0679018577E+05;2.0976046681E+01;-1.1507782024E+01;-7.5530135220E-01
2459581.083333;2022-Jan-01 14:00:00;-1.2989552332E+08;-1.8989504127E+08;-8.0950921156E+05;2.0981114373E+01;-1.1500284011E+01;-7.5526851277E-01
2459581.125000;2022-Jan-01 15:00:00;-1.2981998219E+08;-1.8993642879E+08;-8.1222811892E+05;2.0986179601E+01;-1.1492783592E+01;-7.5523555443E-01
2459581.166667;2022-Jan-01 16:00:00;-1.2974442283E+08;-1.8997778931E+08;-8.1494690742E+05;2.0991242373E+01;-1.1485280779E+01;-7.5520248281E-01
2459581.208333;2022-Jan-01 17:00:00;-1.2966884525E+08;-1.9001912281E+08;-8.1766557666E+05;2.0996302704E+01;-1.1477775575E+01;-7.5516930518E-01
2459581.250000;2022-Jan-01 18:00:00;-1.2959324945E+08;-1.9006042929E+08;-8.2038412629E+05;2.1001360604E+01;-1.1470267967E+01;-7.5513602658E-01
2459581.291667;2022-Jan-01 19:00:00;-1.2951763545E+08;-1.9010170874E+08;-8.2310255593E+05;2.1006416074E+01;-1.1462757937E+01;-7.5510264592E-01
2459581.333333;2022-Jan-01 20:00:00;-1.2944200326E+08;-1.9014296114E+08;-8.2582086521E+05;2.1011469098E+01;-1.1455245474E+01;-7.5506915579E-01
2459581.375000;2022-Jan-01 21:00:00;-1.2936635288E+08;-1.9018418650E+08;-8.2853905371E+05;2.1016519658E+01;-1.1447730582E+01;-7.5503554830E-01
2459581.416667;2022-Jan-01 22:00:00;-1.2929068432E+08;-1.9022538480E+08;-8.3125712101E+05;2.1021567744E+01;-1.1440213276E+01;-7.5500182046E-01
2459581.458333;2022-Jan-01 23:00:00;-1.2921499759E+08;-1.9026655603E+08;-8.3397506668E+05;2.1026613360E+01;-1.1432693574E+01;-7.5496797519E-01
2459581.500000;2022-Jan-02 00:00:00;-1.2913929271E+08;-1.9030770019E+08;-8.3669289030E+05;2.1031656515E+01;-1.1425171484E+01;-7.5493401912E-01
2459581.541667;2022-Jan-02 01:00:00;-1.2906356967E+08;-1.9034881727E+08;-8.3941059149E+05;2.1036697224E+01;-1.1417647005E+01;-7.5489995912E-01
2459581.583333;2022-Jan-02 02:00:00;-1.2898782849E+08;-1.9038990725E+08;-8.4212816989E+05;2.1041735495E+01;-1.1410120120E+01;-7.5486579862E-01
2459581.625000;2022-Jan-02 03:00:00;-1.2891206918E+08;-1.9043097013E+08;-8.4484562512E+05;2.1046771322E+01;-1.1402590812E+01;-7.5483153384E-01
