t;dt;x;y;z;vx;vy;vz
2459580.5000;2022-Jan-01 00:00:00;-2.7503344153E+07;1.4492290712E+08;1.1076724207E+04;-2.8756972433E+01;-5.6731287469E+00;-9.3685176080E-02
2459580.5417;2022-Jan-01 01:00:00;-2.7606857049E+07;1.4490246399E+08;1.0739915079E+04;-2.8750209304E+01;-5.6841627529E+00;-9.3429195779E-02
2459580.5833;2022-Jan-01 02:00:00;-2.7710345782E+07;1.4488198119E+08;1.0404047018E+04;-2.8743547762E+01;-5.6951603665E+00;-9.3162365065E-02
2459580.6250;2022-Jan-01 03:00:00;-2.7813810716E+07;1.4486145887E+08;1.0069159042E+04;-2.8736988326E+01;-5.7061230237E+00;-9.2884708543E-02
2459580.6667;2022-Jan-01 04:00:00;-2.7917252221E+07;1.4484089715E+08;9.7352900757E+03;-2.8730531491E+01;-5.7170521707E+00;-9.2596252971E-02
2459580.7083;2022-Jan-01 05:00:00;-2.8020670666E+07;1.4482029614E+08;9.4024789448E+03;-2.8724177734E+01;-5.7279492629E+00;-9.2297027256E-02
2459580.7500;2022-Jan-01 06:00:00;-2.8124066425E+07;1.4479965595E+08;9.0707643665E+03;-2.8717927508E+01;-5.7388157650E+00;-9.1987062460E-02
2459580.7917;2022-Jan-01 07:00:00;-2.8227439869E+07;1.4477897670E+08;8.7401849422E+03;-2.8711781244E+01;-5.7496531506E+00;-9.1666391796E-02
2459580.8333;2022-Jan-01 08:00:00;-2.8330791375E+07;1.4475825848E+08;8.4107791502E+03;-2.8705739351E+01;-5.7604629013E+00;-9.1335050628E-02
2459580.8750;2022-Jan-01 09:00:00;-2.8434121318E+07;1.4473750140E+08;8.0825853374E+03;-2.8699802215E+01;-5.7712465070E+00;-9.0993076467E-02
2459580.9167;2022-Jan-01 10:00:00;-2.8537430077E+07;1.4471670554E+08;7.7556417117E+03;-2.8693970199E+01;-5.7820054645E+00;-9.0640508972E-02
2459580.9583;2022-Jan-01 11:00:00;-2.8640718030E+07;1.4469587098E+08;7.4299863347E+03;-2.8688243645E+01;-5.7927412782E+00;-9.0277389938E-02
2459581.0000;2022-Jan-01 12:00:00;-2.8743985558E+07;1.4467499782E+08;7.1056571134E+03;-2.8682622870E+01;-5.8034554588E+00;-8.9903763298E-02
2459581.0417;2022-Jan-01 13:00:00;-2.8847233042E+07;1.4465408613E+08;6.7826917929E+03;-2.8677108167E+01;-5.8141495230E+00;-8.9519675111E-02
2459581.0833;2022-Jan-01 14:00:00;-2.8950460864E+07;1.4463313597E+08;6.4611279487E+03;-2.8671699807E+01;-5.8248249934E+00;-8.9125173556E-02
2459581.1250;2022-Jan-01 15:00:00;-2.9053669409E+07;1.4461214741E+08;6.1410029791E+03;-2.8666398038E+01;-5.8354833978E+00;-8.8720308922E-02
2459581.1667;2022-Jan-01 16:00:00;-2.9156859058E+07;1.4459112051E+08;5.8223540974E+03;-2.8661203083E+01;-5.8461262687E+00;-8.8305133600E-02
2459581.2083;2022-Jan-01 17:00:00;-2.9260030199E+07;1.4457005532E+08;5.5052183247E+03;-2.8656115141E+01;-5.8567551428E+00;-8.7879702071E-02
2459581.2500;2022-Jan-01 18:00:00;-2.9363183216E+07;1.4454895189E+08;5.1896324821E+03;-2.8651134387E+01;-5.8673715608E+00;-8.7444070890E-02
2459581.2917;2022-Jan-01 19:00:00;-2.9466318496E+07;1.4452781026E+08;4.8756331836E+03;-2.8646260972E+01;-5.8779770666E+00;-8.6998298680E-02
2459581.3333;2022-Jan-01 20:00:00;-2.9569436424E+07;1.4450663046E+08;4.5632568282E+03;-2.8641495025E+01;-5.8885732070E+00;-8.6542446112E-02
2459581.3750;2022-Jan-01 21:00:00;-2.9672537389E+07;1.4448541254E+08;4.2525395929E+03;-2.8636836647E+01;-5.8991615313E+00;-8.6076575890E-02
2459581.4167;2022-Jan-01 22:00:00;-2.9775621777E+07;1.4446415651E+08;3.9435174254E+03;-2.8632285917E+01;-5.9097435905E+00;-8.5600752737E-02
2459581.4583;2022-Jan-01 23:00:00;-2.9878689977E+07;1.4444286239E+08;3.6362260367E+03;-2.8627842889E+01;-5.9203209372E+00;-8.5115043375E-02
2459581.5000;2022-Jan-02 00:00:00;-2.9981742375E+07;1.4442153020E+08;3.3307008941E+03;-2.8623507594E+01;-5.9308951247E+00;-8.4619516510E-02
