T;t;x;y;z;vx;vy;vz
2459580.500000;2022-Jan-01 00:00:00;-1.2836746436E+06;5.0071049970E+05;2.5893975043E+04;-5.8093696538E-03;-1.4619595766E-02;2.5134554420E-04
2459580.541667;2022-Jan-01 01:00:00;-1.2836955558E+06;5.0065786883E+05;2.5894879855E+04;-5.8085568600E-03;-1.4619771183E-02;2.5132792854E-04
2459580.583333;2022-Jan-01 02:00:00;-1.2837164652E+06;5.0060523734E+05;2.5895784604E+04;-5.8077441640E-03;-1.4619946486E-02;2.5131032147E-04
2459580.625000;2022-Jan-01 03:00:00;-1.2837373716E+06;5.0055260522E+05;2.5896689290E+04;-5.8069315660E-03;-1.4620121675E-02;2.5129272307E-04
2459580.666667;2022-Jan-01 04:00:00;-1.2837582751E+06;5.0049997247E+05;2.5897593912E+04;-5.8061190663E-03;-1.4620296749E-02;2.5127513336E-04
2459580.708333;2022-Jan-01 05:00:00;-1.2837791756E+06;5.0044733908E+05;2.5898498470E+04;-5.8053066649E-03;-1.4620471709E-02;2.5125755239E-04
2459580.750000;2022-Jan-01 06:00:00;-1.2838000733E+06;5.0039470507E+05;2.5899402966E+04;-5.8044943620E-03;-1.4620646553E-02;2.5123998023E-04
2459580.791667;2022-Jan-01 07:00:00;-1.2838209680E+06;5.0034207043E+05;2.5900307398E+04;-5.8036821580E-03;-1.4620821282E-02;2.5122241690E-04
2459580.833333;2022-Jan-01 08:00:00;-1.2838418598E+06;5.0028943516E+05;2.5901211767E+04;-5.8028700528E-03;-1.4620995895E-02;2.5120486246E-04
2459580.875000;2022-Jan-01 09:00:00;-1.2838627487E+06;5.0023679926E+05;2.5902116073E+04;-5.8020580468E-03;-1.4621170393E-02;2.5118731695E-04
2459580.916667;2022-Jan-01 10:00:00;-1.2838836346E+06;5.0018416273E+05;2.5903020316E+04;-5.8012461402E-03;-1.4621344775E-02;2.5116978044E-04
2459580.958333;2022-Jan-01 11:00:00;-1.2839045176E+06;5.0013152558E+05;2.5903924496E+04;-5.8004343331E-03;-1.4621519041E-02;2.5115225295E-04
2459581.000000;2022-Jan-01 12:00:00;-1.2839253977E+06;5.0007888779E+05;2.5904828612E+04;-5.7996226257E-03;-1.4621693191E-02;2.5113473454E-04
2459581.041667;2022-Jan-01 13:00:00;-1.2839462749E+06;5.0002624939E+05;2.5905732666E+04;-5.7988110183E-03;-1.4621867224E-02;2.5111722527E-04
2459581.083333;2022-Jan-01 14:00:00;-1.2839671492E+06;4.9997361035E+05;2.5906636656E+04;-5.7979995111E-03;-1.4622041140E-02;2.5109972517E-04
2459581.125000;2022-Jan-01 15:00:00;-1.2839880205E+06;4.9992097069E+05;2.5907540584E+04;-5.7971881042E-03;-1.4622214939E-02;2.5108223431E-04
2459581.166667;2022-Jan-01 16:00:00;-1.2840088889E+06;4.9986833040E+05;2.5908444449E+04;-5.7963767979E-03;-1.4622388622E-02;2.5106475272E-04
2459581.208333;2022-Jan-01 17:00:00;-1.2840297544E+06;4.9981568949E+05;2.5909348250E+04;-5.7955655923E-03;-1.4622562187E-02;2.5104728046E-04
2459581.250000;2022-Jan-01 18:00:00;-1.2840506170E+06;4.9976304795E+05;2.5910251989E+04;-5.7947544878E-03;-1.4622735634E-02;2.5102981759E-04
2459581.291667;2022-Jan-01 19:00:00;-1.2840714767E+06;4.9971040579E+05;2.5911155665E+04;-5.7939434846E-03;-1.4622908964E-02;2.5101236414E-04
2459581.333333;2022-Jan-01 20:00:00;-1.2840923334E+06;4.9965776301E+05;2.5912059278E+04;-5.7931325828E-03;-1.4623082176E-02;2.5099492017E-04
2459581.375000;2022-Jan-01 21:00:00;-1.2841131872E+06;4.9960511960E+05;2.5912962828E+04;-5.7923217826E-03;-1.4623255270E-02;2.5097748573E-04
2459581.416667;2022-Jan-01 22:00:00;-1.2841340381E+06;4.9955247557E+05;2.5913866316E+04;-5.7915110844E-03;-1.4623428245E-02;2.5096006088E-04
2459581.458333;2022-Jan-01 23:00:00;-1.2841548861E+06;4.9949983092E+05;2.5914769741E+04;-5.7907004884E-03;-1.4623601102E-02;2.5094264567E-04
2459581.500000;2022-Jan-02 00:00:00;-1.2841757312E+06;4.9944718564E+05;2.5915673103E+04;-5.7898899947E-03;-1.4623773840E-02;2.5092524014E-04
2459581.541667;2022-Jan-02 01:00:00;-1.2841965733E+06;4.9939453975E+05;2.5916576403E+04;-5.7890796036E-03;-1.4623946459E-02;2.5090784435E-04
2459581.583333;2022-Jan-02 02:00:00;-1.2842174125E+06;4.9934189323E+05;2.5917479639E+04;-5.7882693154E-03;-1.4624118959E-02;2.5089045835E-04
2459581.625000;2022-Jan-02 03:00:00;-1.2842382488E+06;4.9928924609E+05;2.5918382814E+04;-5.7874591303E-03;-1.4624291339E-02;2.5087308220E-04
2459581.666667;2022-Jan-02 04:00:00;-1.2842590822E+06;4.9923659833E+05;2.5919285926E+04;-5.7866490485E-03;-1.4624463600E-02;2.5085571594E-04
2459581.708333;2022-Jan-02 05:00:00;-1.2842799127E+06;4.9918394995E+05;2.5920188975E+04;-5.7858390703E-03;-1.4624635741E-02;2.5083835964E-04
2459581.750000;2022-Jan-02 06:00:00;-1.2843007403E+06;4.9913130096E+05;2.5921091962E+04;-5.7850291960E-03;-1.4624807762E-02;2.5082101335E-04
2459581.791667;2022-Jan-02 07:00:00;-1.2843215649E+06;4.9907865134E+05;2.5921994886E+04;-5.7842194257E-03;-1.4624979662E-02;2.5080367711E-04
2459581.833333;2022-Jan-02 08:00:00;-1.2843423867E+06;4.9902600110E+05;2.5922897748E+04;-5.7834097598E-03;-1.4625151442E-02;2.5078635098E-04
2459581.875000;2022-Jan-02 09:00:00;-1.2843632055E+06;4.9897335025E+05;2.5923800548E+04;-5.7826001986E-03;-1.4625323102E-02;2.5076903503E-04
2459581.916667;2022-Jan-02 10:00:00;-1.2843840214E+06;4.9892069878E+05;2.5924703285E+04;-5.7817907422E-03;-1.4625494641E-02;2.5075172930E-04
2459581.958333;2022-Jan-02 11:00:00;-1.2844048344E+06;4.9886804669E+05;2.5925605960E+04;-5.7809813909E-03;-1.4625666058E-02;2.5073443384E-04
2459582.000000;2022-Jan-02 12:00:00;-1.2844256444E+06;4.9881539398E+05;2.5926508573E+04;-5.7801721451E-03;-1.4625837354E-02;2.5071714872E-04
2459582.041667;2022-Jan-02 13:00:00;-1.2844464516E+06;4.9876274066E+05;2.5927411124E+04;-5.7793630049E-03;-1.4626008529E-02;2.5069987399E-04
2459582.083333;2022-Jan-02 14:00:00;-1.2844672559E+06;4.9871008672E+05;2.5928313612E+04;-5.7785539707E-03;-1.4626179582E-02;2.5068260970E-04
2459582.125000;2022-Jan-02 15:00:00;-1.2844880572E+06;4.9865743217E+05;2.5929216039E+04;-5.7777450428E-03;-1.4626350513E-02;2.5066535591E-04
2459582.166667;2022-Jan-02 16:00:00;-1.2845088556E+06;4.9860477700E+05;2.5930118403E+04;-5.7769362213E-03;-1.4626521322E-02;2.5064811268E-04
2459582.208333;2022-Jan-02 17:00:00;-1.2845296511E+06;4.9855212121E+05;2.5931020705E+04;-5.7761275066E-03;-1.4626692008E-02;2.5063088007E-04
2459582.250000;2022-Jan-02 18:00:00;-1.2845504437E+06;4.9849946481E+05;2.5931922945E+04;-5.7753188991E-03;-1.4626862572E-02;2.5061365813E-04
2459582.291667;2022-Jan-02 19:00:00;-1.2845712334E+06;4.9844680780E+05;2.5932825124E+04;-5.7745103989E-03;-1.4627033014E-02;2.5059644691E-04
2459582.333333;2022-Jan-02 20:00:00;-1.2845920202E+06;4.9839415018E+05;2.5933727240E+04;-5.7737020063E-03;-1.4627203332E-02;2.5057924648E-04
2459582.375000;2022-Jan-02 21:00:00;-1.2846128041E+06;4.9834149194E+05;2.5934629294E+04;-5.7728937218E-03;-1.4627373527E-02;2.5056205690E-04
2459582.416667;2022-Jan-02 22:00:00;-1.2846335850E+06;4.9828883309E+05;2.5935531287E+04;-5.7720855455E-03;-1.4627543598E-02;2.5054487821E-04
2459582.458333;2022-Jan-02 23:00:00;-1.2846543631E+06;4.9823617362E+05;2.5936433217E+04;-5.7712774777E-03;-1.4627713546E-02;2.5052771049E-04
2459582.500000;2022-Jan-03 00:00:00;-1.2846751382E+06;4.9818351355E+05;2.5937335086E+04;-5.7704695188E-03;-1.4627883370E-02;2.5051055379E-04
2459582.541667;2022-Jan-03 01:00:00;-1.2846959105E+06;4.9813085286E+05;2.5938236893E+04;-5.7696616691E-03;-1.4628053071E-02;2.5049340816E-04
2459582.583333;2022-Jan-03 02:00:00;-1.2847166798E+06;4.9807819157E+05;2.5939138639E+04;-5.7688539289E-03;-1.4628222646E-02;2.5047627368E-04
2459582.625000;2022-Jan-03 03:00:00;-1.2847374462E+06;4.9802552966E+05;2.5940040322E+04;-5.7680462985E-03;-1.4628392098E-02;2.5045915039E-04
2459582.666667;2022-Jan-03 04:00:00;-1.2847582097E+06;4.9797286714E+05;2.5940941945E+04;-5.7672387782E-03;-1.4628561425E-02;2.5044203835E-04
2459582.708333;2022-Jan-03 05:00:00;-1.2847789703E+06;4.9792020402E+05;2.5941843505E+04;-5.7664313684E-03;-1.4628730626E-02;2.5042493763E-04
2459582.750000;2022-Jan-03 06:00:00;-1.2847997280E+06;4.9786754028E+05;2.5942745004E+04;-5.7656240693E-03;-1.4628899703E-02;2.5040784829E-04
2459582.791667;2022-Jan-03 07:00:00;-1.2848204828E+06;4.9781487594E+05;2.5943646442E+04;-5.7648168813E-03;-1.4629068655E-02;2.5039077039E-04
2459582.833333;2022-Jan-03 08:00:00;-1.2848412347E+06;4.9776221099E+05;2.5944547818E+04;-5.7640098047E-03;-1.4629237481E-02;2.5037370398E-04
2459582.875000;2022-Jan-03 09:00:00;-1.2848619837E+06;4.9770954543E+05;2.5945449132E+04;-5.7632028399E-03;-1.4629406181E-02;2.5035664913E-04
2459582.916667;2022-Jan-03 10:00:00;-1.2848827298E+06;4.9765687927E+05;2.5946350386E+04;-5.7623959872E-03;-1.4629574756E-02;2.5033960591E-04
2459582.958333;2022-Jan-03 11:00:00;-1.2849034730E+06;4.9760421249E+05;2.5947251578E+04;-5.7615892469E-03;-1.4629743204E-02;2.5032257436E-04
2459583.000000;2022-Jan-03 12:00:00;-1.2849242132E+06;4.9755154511E+05;2.5948152708E+04;-5.7607826194E-03;-1.4629911526E-02;2.5030555456E-04
2459583.041667;2022-Jan-03 13:00:00;-1.2849449506E+06;4.9749887713E+05;2.5949053778E+04;-5.7599761050E-03;-1.4630079721E-02;2.5028854656E-04
2459583.083333;2022-Jan-03 14:00:00;-1.2849656851E+06;4.9744620854E+05;2.5949954786E+04;-5.7591697041E-03;-1.4630247790E-02;2.5027155044E-04
2459583.125000;2022-Jan-03 15:00:00;-1.2849864166E+06;4.9739353935E+05;2.5950855733E+04;-5.7583634170E-03;-1.4630415732E-02;2.5025456624E-04
2459583.166667;2022-Jan-03 16:00:00;-1.2850071453E+06;4.9734086955E+05;2.5951756619E+04;-5.7575572441E-03;-1.4630583547E-02;2.5023759404E-04
2459583.208333;2022-Jan-03 17:00:00;-1.2850278710E+06;4.9728819915E+05;2.5952657443E+04;-5.7567511857E-03;-1.4630751234E-02;2.5022063390E-04
2459583.250000;2022-Jan-03 18:00:00;-1.2850485939E+06;4.9723552814E+05;2.5953558207E+04;-5.7559452422E-03;-1.4630918794E-02;2.5020368587E-04
2459583.291667;2022-Jan-03 19:00:00;-1.2850693138E+06;4.9718285653E+05;2.5954458910E+04;-5.7551394141E-03;-1.4631086226E-02;2.5018675003E-04
2459583.333333;2022-Jan-03 20:00:00;-1.2850900309E+06;4.9713018432E+05;2.5955359552E+04;-5.7543337015E-03;-1.4631253531E-02;2.5016982644E-04
2459583.375000;2022-Jan-03 21:00:00;-1.2851107450E+06;4.9707751150E+05;2.5956260133E+04;-5.7535281050E-03;-1.4631420707E-02;2.5015291516E-04
2459583.416667;2022-Jan-03 22:00:00;-1.2851314563E+06;4.9702483809E+05;2.5957160653E+04;-5.7527226249E-03;-1.4631587755E-02;2.5013601625E-04
2459583.458333;2022-Jan-03 23:00:00;-1.2851521646E+06;4.9697216407E+05;2.5958061112E+04;-5.7519172615E-03;-1.4631754674E-02;2.5011912979E-04
2459583.500000;2022-Jan-04 00:00:00;-1.2851728701E+06;4.9691948946E+05;2.5958961511E+04;-5.7511120154E-03;-1.4631921465E-02;2.5010225583E-04
2459583.541667;2022-Jan-04 01:00:00;-1.2851935727E+06;4.9686681424E+05;2.5959861848E+04;-5.7503068867E-03;-1.4632088126E-02;2.5008539445E-04
2459583.583333;2022-Jan-04 02:00:00;-1.2852142723E+06;4.9681413842E+05;2.5960762125E+04;-5.7495018760E-03;-1.4632254659E-02;2.5006854570E-04
2459583.625000;2022-Jan-04 03:00:00;-1.2852349691E+06;4.9676146201E+05;2.5961662342E+04;-5.7486969837E-03;-1.4632421063E-02;2.5005170965E-04
2459583.666667;2022-Jan-04 04:00:00;-1.2852556629E+06;4.9670878499E+05;2.5962562498E+04;-5.7478922101E-03;-1.4632587336E-02;2.5003488637E-04
2459583.708333;2022-Jan-04 05:00:00;-1.2852763539E+06;4.9665610738E+05;2.5963462593E+04;-5.7470875556E-03;-1.4632753481E-02;2.5001807593E-04
2459583.750000;2022-Jan-04 06:00:00;-1.2852970420E+06;4.9660342917E+05;2.5964362628E+04;-5.7462830206E-03;-1.4632919495E-02;2.5000127838E-04
2459583.791667;2022-Jan-04 07:00:00;-1.2853177271E+06;4.9655075036E+05;2.5965262602E+04;-5.7454786056E-03;-1.4633085379E-02;2.4998449380E-04
2459583.833333;2022-Jan-04 08:00:00;-1.2853384094E+06;4.9649807095E+05;2.5966162516E+04;-5.7446743110E-03;-1.4633251134E-02;2.4996772226E-04
2459583.875000;2022-Jan-04 09:00:00;-1.2853590888E+06;4.9644539095E+05;2.5967062370E+04;-5.7438701371E-03;-1.4633416757E-02;2.4995096382E-04
2459583.916667;2022-Jan-04 10:00:00;-1.2853797653E+06;4.9639271035E+05;2.5967962163E+04;-5.7430660845E-03;-1.4633582251E-02;2.4993421854E-04
2459583.958333;2022-Jan-04 11:00:00;-1.2854004389E+06;4.9634002916E+05;2.5968861896E+04;-5.7422621534E-03;-1.4633747613E-02;2.4991748650E-04
2459584.000000;2022-Jan-04 12:00:00;-1.2854211096E+06;4.9628734737E+05;2.5969761569E+04;-5.7414583444E-03;-1.4633912844E-02;2.4990076777E-04
2459584.041667;2022-Jan-04 13:00:00;-1.2854417774E+06;4.9623466498E+05;2.5970661182E+04;-5.7406546579E-03;-1.4634077945E-02;2.4988406240E-04
2459584.083333;2022-Jan-04 14:00:00;-1.2854624423E+06;4.9618198201E+05;2.5971560734E+04;-5.7398510942E-03;-1.4634242914E-02;2.4986737048E-04
2459584.125000;2022-Jan-04 15:00:00;-1.2854831043E+06;4.9612929844E+05;2.5972460227E+04;-5.7390476539E-03;-1.4634407751E-02;2.4985069206E-04
2459584.166667;2022-Jan-04 16:00:00;-1.2855037634E+06;4.9607661427E+05;2.5973359659E+04;-5.7382443374E-03;-1.4634572457E-02;2.4983402722E-04
2459584.208333;2022-Jan-04 17:00:00;-1.2855244196E+06;4.9602392951E+05;2.5974259032E+04;-5.7374411452E-03;-1.4634737031E-02;2.4981737602E-04
2459584.250000;2022-Jan-04 18:00:00;-1.2855450730E+06;4.9597124416E+05;2.5975158345E+04;-5.7366380776E-03;-1.4634901473E-02;2.4980073854E-04
2459584.291667;2022-Jan-04 19:00:00;-1.2855657234E+06;4.9591855822E+05;2.5976057597E+04;-5.7358351351E-03;-1.4635065783E-02;2.4978411484E-04
2459584.333333;2022-Jan-04 20:00:00;-1.2855863710E+06;4.9586587169E+05;2.5976956790E+04;-5.7350323182E-03;-1.4635229960E-02;2.4976750499E-04
2459584.375000;2022-Jan-04 21:00:00;-1.2856070157E+06;4.9581318457E+05;2.5977855923E+04;-5.7342296274E-03;-1.4635394005E-02;2.4975090906E-04
2459584.416667;2022-Jan-04 22:00:00;-1.2856276575E+06;4.9576049685E+05;2.5978754997E+04;-5.7334270631E-03;-1.4635557918E-02;2.4973432713E-04
2459584.458333;2022-Jan-04 23:00:00;-1.2856482963E+06;4.9570780855E+05;2.5979654010E+04;-5.7326246257E-03;-1.4635721697E-02;2.4971775926E-04
2459584.500000;2022-Jan-05 00:00:00;-1.2856689324E+06;4.9565511966E+05;2.5980552965E+04;-5.7318223158E-03;-1.4635885344E-02;2.4970120552E-04
2459584.541667;2022-Jan-05 01:00:00;-1.2856895655E+06;4.9560243018E+05;2.5981451859E+04;-5.7310201333E-03;-1.4636048856E-02;2.4968466603E-04
2459584.583333;2022-Jan-05 02:00:00;-1.2857101957E+06;4.9554974011E+05;2.5982350694E+04;-5.7302180793E-03;-1.4636212235E-02;2.4966814081E-04
2459584.625000;2022-Jan-05 03:00:00;-1.2857308230E+06;4.9549704945E+05;2.5983249470E+04;-5.7294161542E-03;-1.4636375481E-02;2.4965162993E-04
2459584.666667;2022-Jan-05 04:00:00;-1.2857514475E+06;4.9544435820E+05;2.5984148186E+04;-5.7286143586E-03;-1.4636538593E-02;2.4963513346E-04
2459584.708333;2022-Jan-05 05:00:00;-1.2857720691E+06;4.9539166637E+05;2.5985046843E+04;-5.7278126928E-03;-1.4636701571E-02;2.4961865146E-04
2459584.750000;2022-Jan-05 06:00:00;-1.2857926877E+06;4.9533897395E+05;2.5985945440E+04;-5.7270111575E-03;-1.4636864416E-02;2.4960218403E-04
2459584.791667;2022-Jan-05 07:00:00;-1.2858133035E+06;4.9528628095E+05;2.5986843979E+04;-5.7262097530E-03;-1.4637027127E-02;2.4958573121E-04
2459584.833333;2022-Jan-05 08:00:00;-1.2858339165E+06;4.9523358736E+05;2.5987742458E+04;-5.7254084799E-03;-1.4637189703E-02;2.4956929310E-04
2459584.875000;2022-Jan-05 09:00:00;-1.2858545265E+06;4.9518089318E+05;2.5988640877E+04;-5.7246073387E-03;-1.4637352146E-02;2.4955286975E-04
2459584.916667;2022-Jan-05 10:00:00;-1.2858751336E+06;4.9512819842E+05;2.5989539238E+04;-5.7238063298E-03;-1.4637514453E-02;2.4953646124E-04
2459584.958333;2022-Jan-05 11:00:00;-1.2858957379E+06;4.9507550308E+05;2.5990437540E+04;-5.7230054537E-03;-1.4637676627E-02;2.4952006765E-04
2459585.000000;2022-Jan-05 12:00:00;-1.2859163393E+06;4.9502280715E+05;2.5991335783E+04;-5.7222047111E-03;-1.4637838665E-02;2.4950368905E-04
2459585.041667;2022-Jan-05 13:00:00;-1.2859369378E+06;4.9497011064E+05;2.5992233967E+04;-5.7214041024E-03;-1.4638000569E-02;2.4948732551E-04
2459585.083333;2022-Jan-05 14:00:00;-1.2859575334E+06;4.9491741355E+05;2.5993132092E+04;-5.7206036280E-03;-1.4638162337E-02;2.4947097710E-04
2459585.125000;2022-Jan-05 15:00:00;-1.2859781261E+06;4.9486471587E+05;2.5994030158E+04;-5.7198032886E-03;-1.4638323970E-02;2.4945464389E-04
2459585.166667;2022-Jan-05 16:00:00;-1.2859987160E+06;4.9481201761E+05;2.5994928165E+04;-5.7190030846E-03;-1.4638485468E-02;2.4943832596E-04
2459585.208333;2022-Jan-05 17:00:00;-1.2860193029E+06;4.9475931878E+05;2.5995826114E+04;-5.7182030166E-03;-1.4638646831E-02;2.4942202339E-04
2459585.250000;2022-Jan-05 18:00:00;-1.2860398870E+06;4.9470661936E+05;2.5996724004E+04;-5.7174030851E-03;-1.4638808058E-02;2.4940573624E-04
2459585.291667;2022-Jan-05 19:00:00;-1.2860604682E+06;4.9465391936E+05;2.5997621835E+04;-5.7166032907E-03;-1.4638969149E-02;2.4938946460E-04
2459585.333333;2022-Jan-05 20:00:00;-1.2860810466E+06;4.9460121878E+05;2.5998519608E+04;-5.7158036338E-03;-1.4639130105E-02;2.4937320852E-04
2459585.375000;2022-Jan-05 21:00:00;-1.2861016220E+06;4.9454851762E+05;2.5999417322E+04;-5.7150041151E-03;-1.4639290924E-02;2.4935696809E-04
2459585.416667;2022-Jan-05 22:00:00;-1.2861221946E+06;4.9449581588E+05;2.6000314978E+04;-5.7142047351E-03;-1.4639451608E-02;2.4934074339E-04
2459585.458333;2022-Jan-05 23:00:00;-1.2861427643E+06;4.9444311357E+05;2.6001212575E+04;-5.7134054943E-03;-1.4639612155E-02;2.4932453447E-04
2459585.500000;2022-Jan-06 00:00:00;-1.2861633311E+06;4.9439041068E+05;2.6002110115E+04;-5.7126063933E-03;-1.4639772566E-02;2.4930834143E-04
2459585.541667;2022-Jan-06 01:00:00;-1.2861838951E+06;4.9433770721E+05;2.6003007595E+04;-5.7118074327E-03;-1.4639932840E-02;2.4929216433E-04
2459585.583333;2022-Jan-06 02:00:00;-1.2862044561E+06;4.9428500316E+05;2.6003905018E+04;-5.7110086129E-03;-1.4640092978E-02;2.4927600325E-04
2459585.625000;2022-Jan-06 03:00:00;-1.2862250143E+06;4.9423229854E+05;2.6004802383E+04;-5.7102099347E-03;-1.4640252980E-02;2.4925985826E-04
