Datum;JD;l_SL;b_SL;d_SL;l_Jup;b_Jup;d_Jup;x;y;z
1994-Jan-01;2449354;208.7785;-0.8589;5.395143;210.8262;1.2232;5.444679;-4.7282;-2.5971;-0.0809
1994-Jan-02;2449355;208.8596;-0.8555;5.394920;210.9020;1.2226;5.444583;-4.7244;-2.6036;-0.0806
1994-Jan-03;2449356;208.9407;-0.8520;5.394698;210.9778;1.2220;5.444487;-4.7205;-2.6102;-0.0802
1994-Jan-04;2449357;209.0219;-0.8486;5.394478;211.0537;1.2214;5.444391;-4.7166;-2.6168;-0.0799
1994-Jan-05;2449358;209.1030;-0.8451;5.394258;211.1295;1.2208;5.444294;-4.7127;-2.6234;-0.0796
1994-Jan-06;2449359;209.1843;-0.8415;5.394040;211.2053;1.2202;5.444197;-4.7088;-2.6300;-0.0792
1994-Jan-07;2449360;209.2655;-0.8380;5.393823;211.2811;1.2196;5.444099;-4.7049;-2.6365;-0.0789
1994-Jan-08;2449361;209.3468;-0.8344;5.393607;211.3569;1.2189;5.443999;-4.7009;-2.6431;-0.0785
1994-Jan-09;2449362;209.4281;-0.8308;5.393393;211.4328;1.2183;5.443900;-4.6970;-2.6497;-0.0782
1994-Jan-10;2449363;209.5095;-0.8271;5.393180;211.5086;1.2177;5.443800;-4.6931;-2.6562;-0.0779
1994-Jan-11;2449364;209.5908;-0.8235;5.392968;211.5844;1.2171;5.443701;-4.6891;-2.6628;-0.0775
1994-Jan-12;2449365;209.6723;-0.8198;5.392757;211.6602;1.2165;5.443601;-4.6851;-2.6694;-0.0772
1994-Jan-13;2449366;209.7537;-0.8160;5.392548;211.7361;1.2158;5.443500;-4.6812;-2.6759;-0.0768
1994-Jan-14;2449367;209.8352;-0.8123;5.392340;211.8119;1.2152;5.443399;-4.6772;-2.6825;-0.0764
1994-Jan-15;2449368;209.9167;-0.8085;5.392134;211.8878;1.2146;5.443297;-4.6732;-2.6890;-0.0761
1994-Jan-16;2449369;209.9983;-0.8047;5.391929;211.9636;1.2140;5.443195;-4.6692;-2.6956;-0.0757
1994-Jan-17;2449370;210.0798;-0.8008;5.391725;212.0395;1.2133;5.443093;-4.6652;-2.7021;-0.0754
1994-Jan-18;2449371;210.1615;-0.7969;5.391523;212.1153;1.2127;5.442990;-4.6611;-2.7086;-0.0750
1994-Jan-19;2449372;210.2431;-0.7930;5.391322;212.1912;1.2120;5.442887;-4.6571;-2.7152;-0.0746
1994-Jan-20;2449373;210.3248;-0.7891;5.391123;212.2670;1.2114;5.442784;-4.6531;-2.7217;-0.0742
1994-Jan-21;2449374;210.4065;-0.7851;5.390925;212.3429;1.2108;5.442679;-4.6490;-2.7283;-0.0739
1994-Jan-22;2449375;210.4883;-0.7811;5.390728;212.4188;1.2101;5.442574;-4.6449;-2.7348;-0.0735
1994-Jan-23;2449376;210.5701;-0.7770;5.390533;212.4946;1.2095;5.442468;-4.6409;-2.7413;-0.0731
