Planet;F;phi;c1;c2
2;2359;209.080;1;-1
2;160;58.400;2;-1
2;6842;58.318;2;-2
2;869;226.700;2;-3
2;1045;87.570;3;-3
2;1497;255.250;3;-4
2;194;49.500;3;-5
2;376;116.280;4;-4
2;196;105.200;4;-5
2;163;145.400;5;-5
2;141;105.400;5;-7
4;150;127.700;-1;1
4;2057;253.828;-2;2
4;151;295.000;-2;1
4;168;203.500;-3;3
4;215;249.000;-3;2
4;478;15.170;-4;3
4;105;65.900;-4;2
4;107;324.600;-5;4
4;139;137.300;-6;4
5;208;112.000;-1;2
5;7067;89.545;-1;1
5;244;338.600;-1;0
5;103;350.500;-2;3
5;4026;357.108;-2;2
5;1459;19.467;-2;1
5;281;81.200;-3;3
5;803;352.560;-3;2
5;174;8.600;-3;1
5;113;347.700;-4;2
6;429;10.600;-1;1
6;162;200.600;-2;2
6;112;203.100;-2;1
